id,name,address,city,state,postal_code,phone_number
985,THE SUNSET'S BEST SEAFOOD RESTAURANT,3060 TARAVAL ST ,San Francisco,CA,94116,
993,CHICK-N-DELI,5392 MISSION ST ,San Francisco,CA,94112,+14155335215
994,RAILROAD EXPRESSO CAFE,705 MONTEREY BLVD ,San Francisco,CA,94127,+14155334009
999,SERRANO'S PIZZA II,3274 21ST ST ,San Francisco,CA,94110,+14155691615
1000,HEUNG YUEN RESTAURANT,3279 22ND ST ,San Francisco,CA,94110,
1002,BIG MOUTH BURGERS,3392 24TH ST ,San Francisco,CA,94110,
1003,RINCON PERUANO RESTAURANT,3364 26TH ST ,San Francisco,CA,94110,
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION ST,San Francisco,CA,94110,+14155286927
1008,VALENCIA PIZZA & PASTA,801 VALENCIA ST ,San Francisco,CA,94110,+14155823494
1018,PETES BARBEQUE,2399 MISSION ST ,San Francisco,CA,94110,+14155821009
1021,LA SANTANECA DE LA MISSION,2815 MISSION ST,San Francisco,CA,94110,+14155282131
1022,DAK WIN RESTAURANT,2845 MISSION ST,San Francisco,CA,94110,+14155284455
1026,PHUKET THAI RESTAURANT,248 DIVISADERO ST ,San Francisco,CA,94117,+14155979594
1027,KK CAFE,252 DIVISADERO ST ,San Francisco,CA,94117,+14155626188
1031,IL BORGO,500 FELL ST ,San Francisco,CA,94102,
1036,ALAMO SQUARE,803 FILLMORE ST ,San Francisco,CA,94117,
1038,GO GETTERS PIZZA,69 GOUGH ST ,San Francisco,CA,94102,+14155621401
1042,LOVE 'N HAIGHT COFFEE & DELI,553 HAIGHT ST ,San Francisco,CA,94117,+14155258190
1043,CENTRAL COFFEE TEA & SPICE,1696 HAYES ST ,San Francisco,CA,94117,
1047,PORK STORE CAFE,1451 HAIGHT ST ,San Francisco,CA,94117,+14155866981
1048,CREPE EXPRESS,1476 HAIGHT ST ,San Francisco,CA,94117,
1060,BEAN THERE COFFEE & TEA,201 STEINER ST ,San Francisco,CA,94117,
1065,UNIVERSAL CAFE,2814 19TH ST ,San Francisco,CA,94110,
1075,"SANDWICH PLACE, THE",2029 MISSION ST ,San Francisco,CA,94110,+14155433811
1081,ARINELL PIZZA,509 VALENCIA ST ,San Francisco,CA,94110,+14155251303
1085,STARBUCKS COFFEE,333 MARKET ST ,San Francisco,CA,94105,
1090,TRICOLORE CAFFE' AND PIZZERIA,590 WASHINGTON ST ,San Francisco,CA,94111,
1091,LES CROISSANT,2 CALIFORNIA ST,San Francisco,CA,94111,
1093,YOUNG'S BBQ,3412 17TH ST ,San Francisco,CA,94110,
1102,HOANG DAT COFFEE SHOP,930 GEARY ST ,San Francisco,CA,94109,
1103,STARBUCKS COFFEE,4094 18TH ST ,San Francisco,CA,94114,
1111,SUBWAY 16604,753 POLK ST ,San Francisco,CA,94109,+14155921055
1116,STARBUCKS COFFEE,1899 UNION ST ,San Francisco,CA,94123,+14155924049
1122,STARBUCKS COFFEE,2132 CHESTNUT ST ,San Francisco,CA,94123,
